combo,valor original,beneficio,taxa instalacao,equipamento comodato
COMBO LIGHT CLUB 300MB,161.41,81.51,150,500
COMBO LIGHT CLUB 300MB + DEEZER,171.31,85.51,150,500
COMBO LIGHT CLUB 300MB + VOZ,ERRO,ERRO,150,500
COMBO LIGHT CLUB 300MB + VOZ + DEEZER,221.21,125.51,150,500
COMBO BASIC CLUB 600MB,185.41,85.51,150,500
COMBO BASIC CLUB 600MB + DEEZER,195.31,89.51,150,500
COMBO BASIC CLUB 600MB + DEEZER + VOZ,245.21,129.51,150,500
COMBO BASIC CLUB 600MB + DTEL MAX,295.21,139.51,150,800
COMBO BASIC CLUB 600MB + VOZ,235.31,125.51,150,500
COMBO PREMIUM CLUB,ERRO,ERRO,150,500
COMBO PREMIUM CLUB + DEEZER,ERRO,ERRO,150,500
COMBO PREMIUM CLUB + DTEL MAX,ERRO,ERRO,150,800
COMBO PREMIUM CLUB + VOZ,ERRO,ERRO,150,500
COMBO PREMIUM CLUB + DTEL MAX + DEEZER,ERRO,ERRO,150,800
COMBO PREMIUM CLUB + VOZ + DEEZER,ERRO,ERRO,150,500